# chromA	startA	endA	chromB	startB	endB	breakpointCount
chr10	41907076	41907076	chr3	93470690	93470690	1
chr10	41909834	41909834	chr3	103722959	103722959	1
chr10	41910630	41910630	chr3	180810837	180810837	1
chr10	41817042	41915486	chr4	49631198	49711560	811
chr10	41825537	41825537	chr4	68555918	68555918	1
chr10	41830132	41830132	chr4	148854742	148854742	1
chr10	41841611	41841611	chr4	124415980	124415980	1
chr10	41843409	41843409	chr4	32361290	32361290	1
chr10	41844500	41844500	chr4	137649807	137649807	1
chr10	41856999	41915964	chr4	49091250	49156690	4118
chr10	41860129	41860129	chr4	134415635	134415635	1
chr10	41865261	41865261	chr4	115232235	115232235	1
chr10	41870189	41870189	chr4	157755913	157755913	1
chr10	41877826	41877826	chr4	111698392	111698392	1
chr10	41878462	41878462	chr4	137895592	137895592	1
chr10	41889098	41889098	chr4	7186612	7186612	1
chr10	41889503	41889503	chr4	94994590	94994590	1
chr10	41890225	41890225	chr4	17274181	17274181	1
chr10	41914044	41914044	chr4	2032231	2032231	1
chr10	41805142	41805142	chr5	99151289	99151289	1
chr10	41813258	41813258	chr5	46286527	46286527	1
chr10	41839893	41839893	chr5	47227049	47227049	1
chr10	41844900	41844900	chr5	52833586	52833586	1
chr10	41850525	41915816	chr5	49601100	49667245	980
chr10	41869870	41869870	chr5	9353306	9353306	1
chr10	41882451	41882451	chr5	175650630	175650630	1
chr10	41885177	41885177	chr5	37709687	37709687	1
chr10	41887210	41887210	chr5	102815849	102815849	1
chr10	41888489	41888489	chr5	146390025	146390025	1
chr10	41898568	41898568	chr5	25384584	25384584	1
chr10	41905623	41905623	chr5	122653566	122653566	1
chr10	41912485	41912485	chr5	104829202	104829202	1
chr10	41915475	41915475	chr5	79180463	79180463	1
chr10	41805632	41805632	chr6	112532947	112532947	1
chr10	41819503	41819503	chr6	9588151	9588151	1
chr10	41834022	41834022	chr6	169243271	169243271	1
chr10	41838210	41838210	chr6	75293222	75293222	1
chr10	41838250	41838250	chr6	19827947	19827947	1
chr10	41844997	41844997	chr6	26166067	26166067	1
chr10	41846120	41846120	chr6	48418327	48418327	1
chr10	41862383	41862383	chr6	8727792	8727792	1
chr10	41878755	41878755	chr6	99800408	99800408	1
chr10	41881997	41881997	chr6	100128989	100128989	1
chr10	41895808	41895808	chr6	138241368	138241368	1
chr10	41807249	41821734	chr7	62089475	62178373	3
chr10	41820985	41822081	chr7	61660652	61660652	2
chr10	41821193	41821963	chr7	61314430	61314430	2
chr10	41821298	41821298	chr7	62601045	62601045	1
chr10	41830819	41830819	chr7	58611939	58611939	1
chr10	41840934	41840934	chr7	55078033	55078033	1
chr10	41846807	41846807	chr7	99082356	99082356	1
chr10	41850705	41850705	chr7	141133849	141133849	1
chr10	41852346	41852346	chr7	45394437	45394437	1
chr10	41855119	41855119	chr7	114034893	114034893	1
chr10	41883733	41883733	chr7	16999859	16999859	1
chr10	41892377	41916235	chr7	57495833	57496358	2
chr10	41902371	41902371	chr7	122185949	122185949	1
chr10	41907396	41907396	chr7	62335294	62335294	1
chr10	41817272	41817272	chr8	49913782	49913782	1
chr10	41858279	41858279	chr8	5246236	5246236	1
chr10	41884195	41884195	chr8	14385667	14385667	1
chr10	41884702	41884702	chr8	106978487	106978487	1
chr10	41892025	41892025	chr8	128420827	128420827	1
chr10	41905664	41905664	chr8	96171667	96171667	1
chr10	41909719	41909719	chr8	26859201	26859201	1
chr10	41818369	41818369	chr9	30544803	30544803	1
chr10	41838536	41838536	chr9	37327967	37327967	1
chr10	41847108	41847108	chr9	77062608	77062608	1
chr10	41857297	41914558	chr9	70038171	70039157	13
chr10	41870987	41870987	chr9	124101621	124101621	1
chr10	41883384	41883384	chr9	76175216	76175216	1
chr10	41886238	41886238	chr9	111736201	111736201	1
chr10	41911022	41911022	chr9	874195	874195	1
chr10	41875377	41875377	chrEBV	49280	49280	1
chr10	41808564	41808564	chrX	96200519	96200519	1
chr10	41818960	41818960	chrX	41550424	41550424	1
chr10	41821064	41822073	chrX	58461473	58503232	25
chr10	41821994	41821994	chrX	62671432	62671432	1
chr10	41828571	41828571	chrX	59570302	59570302	1
chr10	41838604	41838604	chrX	62516876	62516876	1
chr10	41843929	41843929	chrX	4980347	4980347	1
chr10	41852524	41852524	chrX	26800078	26800078	1
chr10	41859568	41859568	chrX	126703542	126703542	1
chr10	41863401	41863401	chrX	25076546	25076546	1
chr10	41875431	41875431	chrX	31821901	31821901	1
chr10	41894382	41894382	chrX	72879362	72879362	1
chr10	41895844	41895844	chrX	135245145	135245145	1
chr10	41852376	41915146	chrY	11293623	11327605	138
chr10	41852381	41915816	chrY	11517780	11748430	275
chr10	41857377	41915816	chrY	10628732	11039307	311
chr10	41858395	41915739	chrY	56714059	56836776	10
chr10	41860724	41915495	chrY	26638207	26645613	8
chr20	31052259	31245409	chr21	10652970	10737116	268
chr20	31052274	31233155	chr21	7916244	7955020	32
chr20	31059849	31059849	chr21	7260009	7260009	1
chr20	31064009	31064009	chr21	5135255	5135255	1
chr20	31068366	31068366	chr21	20401341	20401341	1
chr20	31071706	31071706	chr21	9248092	9248092	1
chr20	31072718	31072718	chr21	33267859	33267859	1
chr20	31189206	31189235	chr21	5329034	5329034	4
chr20	31189210	31234276	chr21	7259250	7260832	2
chr20	31238236	31238236	chr21	41145373	41145373	1
chr20	31241628	31241628	chr21	9247439	9247439	1
chr20	31052022	31208222	chr22	10717256	10729279	25
chr20	31052750	31243222	chr22	16347188	16362397	110
chr20	31070791	31070791	chr22	29406119	29406119	1
chr20	31227811	31227811	chr22	42116955	42116955	1
chr20	31271386	31271386	chr22	24509357	24509357	1
chr20	31058108	31058108	chr3	123985427	123985427	1
chr20	31060543	31060543	chr3	116121771	116121771	1
chr20	31060543	31060543	chr3	34018022	34018022	1
chr20	31060594	31060594	chr3	178684742	178684742	1
chr20	31062114	31062114	chr3	150259548	150259548	1
chr20	31066638	31237342	chr3	93470379	93470557	4
chr20	31068092	31070868	chr3	89615278	89615302	2
chr20	31070639	31070639	chr3	51371823	51371823	1
chr20	31157503	31157503	chr3	166031892	166031892	1
chr20	31185123	31185123	chr3	56938873	56938873	1
chr20	31185672	31185672	chr3	160408775	160408775	1
chr20	31185781	31185781	chr3	75789762	75789762	1
chr20	31193874	31193874	chr3	53614429	53614429	1
chr20	31227630	31227630	chr3	166273091	166273091	1
chr20	31251247	31251247	chr3	4741304	4741304	1
chr20	31258229	31258229	chr3	11399378	11399378	1
chr20	31269124	31269124	chr3	99093598	99093598	1
chr20	31278212	31278212	chr3	177391584	177391584	1
chr20	31283074	31283074	chr3	6636222	6636222	1
chr20	31051949	31244247	chr4	49091252	49156463	3359
chr20	31052345	31241871	chr4	49631410	49657961	722
chr20	31054996	31054996	chr4	24861799	24861799	1
chr20	31058108	31058108	chr4	43784758	43784758	1
chr20	31058955	31058955	chr4	148698475	148698475	1
chr20	31060543	31060543	chr4	35269875	35269875	1
chr20	31061158	31061158	chr4	44867915	44867915	1
chr20	31063651	31063651	chr4	151237926	151237926	1
chr20	31064188	31064188	chr4	24479213	24479213	1
chr20	31065187	31065187	chr4	60510453	60510453	1
chr20	31068147	31068147	chr4	105561401	105561401	1
chr20	31068240	31068240	chr4	96661983	96661983	1
chr20	31068290	31068290	chr4	138664679	138664679	1
chr20	31068302	31068302	chr4	73636756	73636756	1
chr20	31068772	31068772	chr4	38366123	38366123	1
chr20	31070800	31070800	chr4	112339587	112339587	1
chr20	31074357	31074357	chr4	95141278	95141278	1
chr20	31167298	31167298	chr4	29645602	29645602	1
chr20	31224569	31224569	chr4	171761227	171761227	1
chr20	31233908	31233908	chr4	73746238	73746238	1
chr20	31249994	31249994	chr4	129027205	129027205	1
chr20	31259424	31259424	chr4	53920781	53920781	1
chr20	31283172	31283172	chr4	171388985	171388985	1
chr20	31289459	31289459	chr4	163958070	163958070	1
chr20	31291405	31291405	chr4	155698384	155698384	1
chr20	31051605	31244262	chr5	49601093	49667258	775
chr20	31058304	31058304	chr5	68793652	68793652	1
chr20	31061569	31061569	chr5	41481108	41481108	1
chr20	31063511	31063511	chr5	138636288	138636288	1
chr20	31064907	31064907	chr5	131914595	131914595	1
chr20	31068259	31068259	chr5	87122089	87122089	1
chr20	31068368	31068368	chr5	16342541	16342541	1
chr20	31068707	31068707	chr5	174945862	174945862	1
chr20	31072297	31072297	chr5	88925480	88925480	1
chr20	31072703	31072703	chr5	84863499	84863499	1
chr20	31106761	31106761	chr5	177954762	177954762	1
chr20	31166267	31166267	chr5	35365559	35365559	1
chr20	31183854	31183854	chr5	112023356	112023356	1
chr20	31192320	31192320	chr5	157879118	157879118	1
chr20	31281780	31281780	chr5	57400703	57400703	1
chr20	31291870	31291870	chr5	44625864	44625864	1
chr20	31053330	31053330	chr6	9942385	9942385	1
chr20	31061152	31061152	chr6	68920867	68920867	1
chr20	31068475	31068475	chr6	70715406	70715406	1
chr20	31074334	31074334	chr6	40930916	40930916	1
chr20	31163021	31163021	chr6	21677026	21677026	1
chr20	31222079	31222079	chr6	23643119	23643119	1
chr20	31225443	31225443	chr6	162762890	162762890	1
chr20	31230120	31230120	chr6	19770924	19770924	1
chr20	31247470	31247470	chr6	106460979	106460979	1
chr20	31262516	31262516	chr6	97581311	97581311	1
chr20	31273154	31273154	chr6	35075132	35075132	1
chr20	31273203	31273203	chr6	86995672	86995672	1
chr20	31276262	31276262	chr6	139362965	139362965	1
chr20	31279900	31279900	chr6	135972233	135972233	1
chr20	31052839	31052839	chr7	130688122	130688122	1
chr20	31053658	31075574	chr7	57489763	57495569	6
chr20	31055053	31055053	chr7	12465406	12465406	1
chr20	31061215	31061215	chr7	1812614	1812614	1
chr20	31062106	31062106	chr7	145217619	145217619	1
chr20	31064307	31064307	chr7	65490492	65490492	1
chr20	31065203	31065203	chr7	81581679	81581679	1
chr20	31068201	31068201	chr7	54852317	54852317	1
chr20	31068224	31068224	chr7	42879367	42879367	1
chr20	31068267	31074629	chr7	62335281	62355621	3
chr20	31071884	31071884	chr7	136892162	136892162	1
chr20	31167050	31167050	chr7	5613250	5613250	1
chr20	31169813	31169813	chr7	74287522	74287522	1
chr20	31176585	31176585	chr7	57662572	57662572	1
chr20	31178187	31178187	chr7	142971426	142971426	1
chr20	31181678	31181678	chr7	58119470	58119497	3
chr20	31183966	31243108	chr7	57488165	57496364	2
chr20	31189762	31189762	chr7	38894388	38894388	1
chr20	31239807	31239807	chr7	62304130	62304130	1
chr20	31275998	31275998	chr7	114832257	114832257	1
chr20	31277887	31277887	chr7	57813408	57813408	1
chr20	31285283	31285283	chr7	113086390	113086390	1
chr20	31067983	31067983	chr8	26827604	26827604	1
chr20	31068056	31068056	chr8	80426263	80426263	1
chr20	31068273	31068273	chr8	108963351	108963351	1
chr20	31068283	31068283	chr8	113041220	113041220	1
chr20	31074187	31074187	chr8	4029291	4029291	1
chr20	31169832	31169832	chr8	29522009	29522009	1
chr20	31251704	31251704	chr8	16681614	16681614	1
chr20	31053593	31245101	chr9	70038165	70038378	27
chr20	31058425	31058425	chr9	14096455	14096455	1
chr20	31059552	31059552	chr9	4333321	4333321	1
chr20	31061167	31061167	chr9	30377352	30377352	1
chr20	31068399	31068399	chr9	101698874	101698874	1
chr20	31068714	31068714	chr9	100372199	100372199	1
chr20	31068752	31068752	chr9	134475719	134475719	1
chr20	31069195	31069195	chr9	130790321	130790321	1
chr20	31072921	31072921	chr9	119273537	119273537	1
chr20	31106768	31106768	chr9	76175202	76175202	1
chr20	31177782	31177782	chr9	100769071	100769071	1
chr20	31188267	31188267	chr9	117643054	117643054	1
chr20	31260783	31260783	chr9	135344472	135344472	1
chr20	31272928	31273005	chr9	78379293	78379295	2
chr20	31061462	31061462	chrM	5116	5116	1
chr20	31260354	31260354	chrM	11644	11644	1
chr20	31069065	31069065	chrX	16765040	16765040	1
chr20	31070959	31070959	chrX	1248278	1248278	1
chr20	31074196	31074196	chrX	107583091	107583091	1
chr20	31165784	31165784	chrX	51503472	51503472	1
chr20	31180615	31180615	chrX	1093995	1093995	1
chr20	31229880	31229880	chrX	68179832	68179832	1
chr20	31235600	31235600	chrX	154764576	154764576	1
chr20	31236500	31236500	chrX	123003036	123003036	1
chr20	31268264	31268264	chrX	97069769	97069769	1
chr20	31051944	31245411	chrY	10628796	11039518	541
chr20	31052763	31245409	chrY	11294285	11303871	196
chr20	31055126	31243059	chrY	26638200	26659449	26
chr20	31056695	31240522	chrY	56678370	56833856	28
chr20	31052101	31242631	chrY	11493288	11748452	565
chr20	31163263	31163263	chrY	15163861	15163861	1
