# chromA	startA	endA	chromB	startB	endB	breakpointCount
chr13	62899149	62984352	chr2	32866824	32866918	20
chr13	62899352	62899352	chr2	237343515	237343515	1
chr13	62969108	62969108	chr2	98642140	98642140	1
chr13	62969563	62969563	chr2	180217888	180217888	1
chr13	62970786	62970786	chr2	176339424	176339424	1
chr13	62983832	62983832	chr2	43839387	43839387	1
chr13	62997768	62997768	chr2	138485721	138485721	1
chr13	63016167	63016167	chr2	43435778	43435778	1
chr13	63027729	63027729	chr2	138202509	138202509	1
chr13	63027853	63027853	chr2	164533217	164533217	1
chr13	63028245	63028245	chr2	47017196	47017196	1
chr13	63028478	63028506	chr2	89840526	89840540	4
chr13	63028486	63028543	chr2	109199455	109199455	2
chr13	63028566	63028566	chr2	152054316	152054316	1
chr13	63034879	63034879	chr2	145037931	145037931	1
chr13	63050896	63050896	chr2	173024206	173024206	1
chr13	63050916	63050916	chr2	130781029	130781029	1
chr13	63051694	63051694	chr2	25998932	25998932	1
chr13	63052750	63052750	chr2	132606590	132606590	1
chr13	63060263	63060263	chr2	122457333	122457333	1
chr13	63073589	63073589	chr2	111499502	111499502	1
chr13	63094834	63094834	chr2	47766402	47766402	1
chr13	63096512	63096512	chr2	145949179	145949179	1
chr13	63100075	63100075	chr2	21714196	21714196	1
chr13	62899101	62899101	chr20	4295260	4295260	1
chr13	62902446	62902446	chr20	235461	235461	1
chr13	62902820	62902820	chr20	33600171	33600171	1
chr13	62970407	62970407	chr20	11386878	11386878	1
chr13	63025297	63025297	chr20	15288776	15288776	1
chr13	63028376	63028376	chr20	14579120	14579120	1
chr13	63031398	63031398	chr20	52172196	52172196	1
chr13	63049809	63049809	chr20	535032	535032	1
chr13	63052136	63052136	chr20	47431796	47431796	1
chr13	63027831	63027831	chr21	26058980	26058980	1
chr13	63028512	63028512	chr21	10734948	10734948	1
chr13	63032918	63032918	chr21	6535520	6535520	1
chr13	63074318	63074318	chr21	14433009	14433009	1
chr13	62909416	62909416	chr22	48753271	48753271	1
chr13	62983843	62983843	chr22	42049696	42049696	1
chr13	63028493	63028493	chr22	16353271	16353271	1
chr13	63035655	63035655	chr22	46165928	46165928	1
chr13	62899366	62899366	chr3	12417871	12417871	1
chr13	62909163	62909163	chr3	137376709	137376709	1
chr13	62909352	62909352	chr3	20923030	20923030	1
chr13	62947685	62947685	chr3	143750098	143750098	1
chr13	62983734	62983734	chr3	136273572	136273572	1
chr13	62993663	62993663	chr3	164903533	164903533	1
chr13	63002538	63002538	chr3	115850064	115850064	1
chr13	63012002	63012002	chr3	187653744	187653744	1
chr13	63028262	63028262	chr3	140773539	140773539	1
chr13	63028647	63028647	chr3	49456863	49456863	1
chr13	63056944	63056944	chr3	66314762	66314762	1
chr13	63058061	63058061	chr3	108798504	108798504	1
chr13	63058061	63058108	chr3	187339348	187339350	3
chr13	63091781	63091781	chr3	81768948	81768948	1
chr13	63109008	63109008	chr3	150509069	150509069	1
chr13	62954662	62954662	chr4	167615793	167615793	1
chr13	62957224	62957224	chr4	122845132	122845132	1
chr13	62982244	62982244	chr4	55859368	55859368	1
chr13	62983981	62983981	chr4	104192793	104192793	1
chr13	62999817	62999817	chr4	87432769	87432769	1
chr13	63008711	63008711	chr4	121092804	121092804	1
chr13	63009874	63009874	chr4	121665598	121665598	1
chr13	63020106	63020106	chr4	105630528	105630528	1
chr13	63027331	63027331	chr4	116499626	116499626	1
chr13	63030997	63030997	chr4	101116256	101116256	1
chr13	63036653	63036653	chr4	97535550	97535550	1
chr13	63050927	63050928	chr4	112493953	112493953	2
chr13	63052053	63052053	chr4	147201951	147201951	1
chr13	63079236	63079236	chr4	95129729	95129729	1
chr13	63090434	63090434	chr4	19077840	19077840	1
chr13	62898898	62898898	chr5	84385818	84385818	1
chr13	62900372	62900372	chr5	114274395	114274395	1
chr13	62903390	62903390	chr5	397452	397452	1
chr13	62928362	62928362	chr5	42369352	42369352	1
chr13	62940240	62940240	chr5	164014674	164014674	1
chr13	62947176	62947176	chr5	156524104	156524104	1
chr13	62969856	62969856	chr5	18970385	18970385	1
chr13	62982592	62982592	chr5	93844305	93844305	1
chr13	62983849	62983849	chr5	3070640	3070640	1
chr13	62983914	62983914	chr5	7603796	7603796	1
chr13	62993565	62993565	chr5	103023849	103023849	1
chr13	63000710	63000710	chr5	160185792	160185792	1
chr13	63013501	63013501	chr5	128054462	128054462	1
chr13	63027738	63027738	chr5	99249905	99249905	1
chr13	63049720	63049720	chr5	25155575	25155575	1
chr13	63050897	63050897	chr5	174456069	174456069	1
chr13	63053880	63053880	chr5	63517388	63517388	1
chr13	63058248	63058248	chr5	27271791	27271791	1
chr13	63105726	63105726	chr5	8238944	8238944	1
chr13	62899611	62899611	chr6	63937335	63937335	1
chr13	62909441	62909441	chr6	85771473	85771473	1
chr13	62913310	62913310	chr6	69197824	69197824	1
chr13	62925628	62925628	chr6	158202797	158202797	1
chr13	62932425	62932425	chr6	45560754	45560754	1
chr13	62948099	62948099	chr6	54876295	54876295	1
chr13	62948191	62948191	chr6	162021109	162021109	1
chr13	62954744	62954744	chr6	158513752	158513752	1
chr13	62967476	62967476	chr6	87191273	87191273	1
chr13	62968496	62968496	chr6	120962424	120962424	1
chr13	62983541	62983541	chr6	110473485	110473485	1
chr13	62983665	62983665	chr6	160100729	160100729	1
chr13	62983981	62983981	chr6	114743768	114743768	1
chr13	62993003	62993003	chr6	22696429	22696429	1
chr13	63003128	63003128	chr6	73590894	73590894	1
chr13	63011215	63011215	chr6	98293800	98293800	1
chr13	63029134	63029134	chr6	36500759	36500759	1
chr13	63079956	63079956	chr6	88712465	88712465	1
chr13	63083878	63083878	chr6	162719894	162719894	1
chr13	63103864	63103864	chr6	166997596	166997596	1
chr13	62922863	62922863	chr7	144273591	144273591	1
chr13	62924499	62924499	chr7	11530433	11530433	1
chr13	62925785	62925785	chr7	34142519	34142519	1
chr13	62936408	62936408	chr7	130781098	130781098	1
chr13	62943297	62943297	chr7	106685234	106685234	1
chr13	62947933	62948248	chr7	34024360	34024379	2
chr13	62958955	62958955	chr7	35934651	35934651	1
chr13	62959034	62959034	chr7	5747747	5747747	1
chr13	62983920	62983920	chr7	121846496	121846496	1
chr13	62983996	62983996	chr7	5646696	5646696	1
chr13	62984100	62984100	chr7	107770196	107770196	1
chr13	63004448	63004448	chr7	156423695	156423695	1
chr13	63027491	63027491	chr7	121951971	121951971	1
chr13	63027605	63027605	chr7	40250827	40250827	1
chr13	63035766	63035766	chr7	40908789	40908789	1
chr13	63050106	63050106	chr7	73783443	73783443	1
chr13	63052610	63052610	chr7	152119862	152119862	1
chr13	63083632	63083632	chr7	75852697	75852697	1
chr13	63086600	63086600	chr7	132182375	132182375	1
chr13	63103864	63103864	chr7	41620460	41620460	1
chr13	62911397	62911397	chr8	107375383	107375383	1
chr13	62947055	62947055	chr8	85180512	85180512	1
chr13	62977474	62977474	chr8	42949414	42949414	1
chr13	63006504	63006504	chr8	27840946	27840946	1
chr13	63007024	63007024	chr8	129017914	129017914	1
chr13	63017173	63017173	chr8	17562181	17562181	1
chr13	63033657	63033657	chr8	42328246	42328246	1
chr13	63078266	63078266	chr8	101491012	101491012	1
chr13	63091831	63091831	chr8	67056643	67056643	1
chr13	63095906	63095906	chr8	136880695	136880695	1
chr13	63098744	63098744	chr8	13772983	13772983	1
chr13	62905851	62905851	chr9	77315071	77315071	1
chr13	62959685	62959685	chr9	118385697	118385697	1
chr13	62975809	62975809	chr9	60583994	60583994	1
chr13	63026546	63026546	chr9	7333497	7333497	1
chr13	63028382	63028382	chr9	36256229	36256229	1
chr13	63036527	63036527	chr9	43645895	43645895	1
chr13	63090832	63090832	chr9	25957462	25957462	1
chr13	63038791	63038791	chrEBV	114596	114596	1
chr13	63029357	63029357	chrM	199	199	1
chr13	62899103	62899103	chrX	84307665	84307665	1
chr13	62907381	62907381	chrX	43801513	43801513	1
chr13	62916578	62916578	chrX	137344347	137344347	1
chr13	62921666	62921666	chrX	57903484	57903484	1
chr13	62925489	62925489	chrX	51673026	51673026	1
chr13	62935199	62935199	chrX	144872174	144872174	1
chr13	62935541	62935541	chrX	93653644	93653644	1
chr13	62937042	62937042	chrX	96929602	96929602	1
chr13	62939431	62939431	chrX	121599969	121599969	1
chr13	62942183	62942183	chrX	122495288	122495288	1
chr13	62947220	62947220	chrX	22717951	22717951	1
chr13	62947342	62947342	chrX	97500756	97500756	1
chr13	62947362	62947362	chrX	11176309	11176309	1
chr13	62947876	62947876	chrX	23342267	23342267	1
chr13	62981295	62981295	chrX	104187102	104187102	1
chr13	62983556	62983556	chrX	40110645	40110645	1
chr13	62983737	62983737	chrX	154361047	154361047	1
chr13	62983758	62983758	chrX	74567874	74567874	1
chr13	62983882	62983882	chrX	144103807	144103807	1
chr13	62983981	62983981	chrX	113296156	113296156	1
chr13	62983999	62983999	chrX	54301789	54301789	1
chr13	62995472	62995472	chrX	10355433	10355433	1
chr13	63001435	63001435	chrX	37426393	37426393	1
chr13	63060312	63060312	chrX	114206233	114206233	1
chr13	63063635	63063635	chrX	64419321	64419321	1
chr13	63073912	63073912	chrX	80250676	80250676	1
chr13	63077189	63077189	chrX	92639949	92639949	1
chr13	63079104	63079104	chrX	32048566	32048566	1
chr13	63079787	63079787	chrX	70020876	70020876	1
chr13	63110224	63110224	chrX	15898621	15898621	1
chr13	63028479	63028546	chrY	10946527	10988177	16
chr13	63028484	63028538	chrY	10792579	10844861	6
chr17	22083983	22083983	chr18	13864478	13864478	1
chr17	22109474	22109474	chr18	54728885	54728885	1
chr17	22136508	22136508	chr18	63063665	63063665	1
chr17	22145974	22146069	chr18	73753821	73753823	2
chr17	22146698	22146698	chr19	55331478	55331478	1
chr17	22146794	22146794	chr19	47731265	47731265	1
chr17	22152522	22152522	chr19	40324978	40324978	1
chr17	22154049	22154049	chr19	39956082	39956082	1
chr17	22209869	22209869	chr19	54998605	54998605	1
chr17	22225242	22225242	chr19	33277792	33277792	1
chr17	22081594	22081594	chr2	157273631	157273631	1
chr17	22104716	22104716	chr2	31877914	31877914	1
chr17	22125659	22125659	chr2	87124750	87124750	1
chr17	22131249	22209607	chr2	32866714	32916416	4
chr17	22132441	22132441	chr2	20515080	20515080	1
chr17	22145062	22145062	chr2	59397271	59397271	1
chr17	22145195	22145195	chr2	201168070	201168070	1
chr17	22145762	22145762	chr2	86146362	86146362	1
chr17	22146622	22146622	chr2	108667532	108667532	1
chr17	22150115	22150115	chr2	140584374	140584374	1
chr17	22151630	22151630	chr2	141787608	141787608	1
chr17	22157322	22157322	chr2	226801136	226801136	1
chr17	22158424	22158553	chr2	109199455	109199455	4
chr17	22159001	22159025	chr2	89840526	89840526	4
chr17	22167314	22167314	chr2	15515770	15515770	1
chr17	22178872	22178872	chr2	73400614	73400614	1
chr17	22186344	22186344	chr2	103084165	103084165	1
chr17	22199703	22199703	chr2	39137367	39137367	1
chr17	22211422	22211422	chr2	182219982	182219982	1
chr17	22082269	22082269	chr20	25844184	25844184	1
chr17	22092169	22092169	chr20	20670919	20670919	1
chr17	22106448	22106448	chr20	803692	803692	1
chr17	22109184	22109184	chr20	26153537	26153537	1
chr17	22110158	22110158	chr20	43624584	43624584	1
chr17	22129929	22129929	chr20	62608062	62608062	1
chr17	22131291	22131291	chr20	51777037	51777037	1
chr17	22132937	22132937	chr20	15367706	15367706	1
chr17	22158484	22159019	chr20	31168023	31229440	2
chr17	22169337	22169337	chr20	46977293	46977293	1
chr17	22224303	22224303	chr20	26066460	26066460	1
chr17	22227121	22227121	chr20	64240676	64240676	1
chr17	22123790	22123790	chr21	32425147	32425147	1
chr17	22158500	22159025	chr21	10705314	10734714	7
chr17	22123942	22123942	chr22	40760918	40760918	1
chr17	22141890	22141890	chr22	18159687	18159687	1
chr17	22159013	22159013	chr22	16357656	16357656	1
chr17	22166903	22166903	chr22	34032779	34032779	1
chr17	22210147	22210147	chr22	38209822	38209822	1
chr17	22224620	22224620	chr22	35885840	35885840	1
chr17	22124346	22124346	chr3	124719730	124719730	1
chr17	22124445	22124445	chr3	185577796	185577796	1
chr17	22128912	22128912	chr3	187339344	187339344	1
chr17	22131925	22131925	chr3	48286074	48286074	1
chr17	22132199	22132199	chr3	10176057	10176057	1
chr17	22133557	22133557	chr3	88304334	88304334	1
chr17	22141529	22141529	chr3	2500037	2500037	1
chr17	22141583	22141583	chr3	136361154	136361154	1
chr17	22142771	22142771	chr3	195710543	195710543	1
chr17	22143934	22143934	chr3	93470619	93470619	1
chr17	22146679	22146679	chr3	4025248	4025248	1
chr17	22153939	22154470	chr3	78354349	78354380	2
chr17	22157300	22157300	chr3	10279860	10279860	1
chr17	22180282	22180282	chr3	14180822	14180822	1
chr17	22189628	22189628	chr3	32762450	32762450	1
chr17	22209756	22209756	chr3	70979276	70979276	1
chr17	22209839	22209839	chr3	194667885	194667885	1
chr17	22210872	22210872	chr3	179459773	179459773	1
chr17	22221891	22221891	chr3	131975053	131975053	1
chr17	22075779	22075779	chr4	173499384	173499384	1
chr17	22078526	22078526	chr4	26833335	26833335	1
chr17	22133005	22133005	chr4	35578556	35578556	1
chr17	22144615	22144615	chr4	161543133	161543133	1
chr17	22145775	22145775	chr4	155031705	155031705	1
chr17	22153945	22153945	chr4	118648333	118648333	1
chr17	22172043	22172043	chr4	162229186	162229186	1
chr17	22175858	22175858	chr4	141045408	141045408	1
chr17	22176023	22176023	chr4	25337021	25337021	1
chr17	22201773	22201773	chr4	30121848	30121848	1
chr17	22207724	22207724	chr4	58441609	58441609	1
chr17	22079349	22079349	chr5	65249902	65249902	1
chr17	22131925	22131925	chr5	10739169	10739169	1
chr17	22135254	22135254	chr5	79141128	79141128	1
chr17	22142650	22142650	chr5	156448148	156448148	1
chr17	22146646	22146646	chr5	144299106	144299106	1
chr17	22146651	22146651	chr5	136759048	136759048	1
chr17	22146711	22146781	chr5	132724791	132724791	2
chr17	22146770	22146770	chr5	129720152	129720152	1
chr17	22151620	22151620	chr5	51096297	51096297	1
chr17	22151932	22151932	chr5	58932131	58932131	1
chr17	22154636	22154636	chr5	120967702	120967702	1
chr17	22173667	22173667	chr5	52691997	52691997	1
chr17	22199742	22199742	chr5	64333290	64333290	1
chr17	22227600	22227600	chr5	15034051	15034051	1
chr17	22229596	22229596	chr5	164365751	164365751	1
chr17	22121449	22121449	chr6	104444918	104444918	1
chr17	22128723	22128723	chr6	136905093	136905093	1
chr17	22129692	22129692	chr6	137753718	137753718	1
chr17	22129777	22129777	chr6	31638891	31638891	1
chr17	22131329	22131329	chr6	159867909	159867909	1
chr17	22133083	22133083	chr6	26214913	26214913	1
chr17	22134062	22134062	chr6	68274213	68274213	1
chr17	22134445	22134445	chr6	9376251	9376251	1
chr17	22138416	22138416	chr6	11242805	11242805	1
chr17	22145483	22145483	chr6	73524763	73524763	1
chr17	22153528	22153528	chr6	109384206	109384206	1
chr17	22164027	22164027	chr6	163318454	163318454	1
chr17	22191098	22191098	chr6	119730016	119730016	1
chr17	22227334	22227334	chr6	23889499	23889499	1
chr17	22078508	22078508	chr7	7624963	7624963	2
chr17	22116745	22116745	chr7	109353843	109353843	1
chr17	22122926	22122926	chr7	39617397	39617397	1
chr17	22128883	22128883	chr7	104965789	104965789	1
chr17	22134744	22134744	chr7	25274493	25274493	1
chr17	22138788	22138788	chr7	46298563	46298563	1
chr17	22142925	22142925	chr7	92900535	92900535	1
chr17	22145214	22145214	chr7	139240429	139240429	1
chr17	22145804	22145804	chr7	112568988	112568988	1
chr17	22146792	22146792	chr7	133227283	133227283	1
chr17	22155549	22155549	chr7	140680673	140680673	1
chr17	22184564	22184564	chr7	67603995	67603995	1
chr17	22200781	22200781	chr7	25852162	25852162	1
chr17	22222127	22222127	chr7	4756469	4756469	1
chr17	22225568	22225568	chr7	130835185	130835185	1
chr17	22082385	22082385	chr8	2057993	2057993	1
chr17	22112351	22112351	chr8	103786833	103786833	1
chr17	22131389	22131389	chr8	133949972	133949972	1
chr17	22152143	22152143	chr8	129053006	129053006	1
chr17	22169056	22169056	chr8	77654548	77654548	1
chr17	22176476	22176476	chr8	117741052	117741052	1
chr17	22186199	22186199	chr8	4479546	4479546	1
chr17	22193897	22193897	chr8	95695992	95695992	1
chr17	22198554	22198554	chr8	14775915	14775915	1
chr17	22205129	22205129	chr8	2192174	2192174	1
chr17	22207983	22207983	chr8	143134317	143134317	1
chr17	22082315	22082315	chr9	136627827	136627827	1
chr17	22132521	22132521	chr9	67345126	67345126	1
chr17	22136486	22136486	chr9	26749367	26749367	1
chr17	22145747	22145806	chr9	130680630	130680630	3
chr17	22146688	22146688	chr9	105139965	105139965	1
chr17	22148342	22148342	chr9	101576787	101576787	1
chr17	22152127	22152127	chr9	10934630	10934630	1
chr17	22153584	22154176	chr9	110839257	110839259	2
chr17	22154181	22154181	chr9	73599963	73599963	1
chr17	22154188	22154566	chr9	110173033	110173064	8
chr17	22176508	22176508	chr9	93508093	93508093	1
chr17	22179706	22179706	chr9	73114733	73114733	1
chr17	22209560	22209560	chr9	21961018	21961018	1
chr17	22142931	22147139	chrEBV	79297	166484	2
chr17	22082230	22082230	chrX	85220649	85220649	1
chr17	22083629	22083629	chrX	129970838	129970838	1
chr17	22106020	22106020	chrX	141138848	141138848	1
chr17	22110046	22110046	chrX	127508748	127508748	1
chr17	22135740	22135740	chrX	86599804	86599804	1
chr17	22136450	22137851	chrX	39097925	39097991	8
chr17	22146631	22147007	chrX	22249439	22249439	6
chr17	22147029	22147029	chrX	138211944	138211944	1
chr17	22150128	22150128	chrX	57682134	57682134	1
chr17	22158803	22158803	chrX	78426338	78426338	1
chr17	22191087	22191087	chrX	47845469	47845469	1
chr17	22193063	22193063	chrX	43515731	43515731	1
chr17	22199111	22199111	chrX	87134891	87134891	1
chr17	22202172	22202172	chrX	73369667	73369667	1
chr17	22211454	22211454	chrX	109621141	109621141	1
chr17	22216619	22216619	chrX	121257360	121257360	1
chr17	22081191	22081191	chrY	24058473	24058473	1
chr17	22086786	22086786	chrY	5197585	5197585	1
chr17	22158968	22159022	chrY	26639861	26653584	7
chr17	22158425	22159031	chrY	10658337	11009296	27
